county_name,fips,hispanic_deaths,pop_cdc,crude_Rate_cdc
"Jefferson County, AL",1073,39,25488,153
"Madison County, AL",1089,18,15404,116.9
"Marshall County, AL",1095,17,11238,151.3
"Mobile County, AL",1097,17,9936,171.1
"Morgan County, AL",1103,12,9156,131.1
"Tuscaloosa County, AL",1125,11,5949,184.9
"Anchorage Borough, AK",2020,43,22061,194.9
"Apache County, AZ",4001,22,4113,534.9
"Cochise County, AZ",4003,254,42543,597
"Coconino County, AZ",4005,59,18166,324.8
"Gila County, AZ",4007,55,9588,573.6
"Graham County, AZ",4009,61,11320,538.9
"Greenlee County, AZ",4011,25,4040,618.8
"La Paz County, AZ",4012,13,4806,270.5
"Maricopa County, AZ",4013,2712,1128741,240.3
"Mohave County, AZ",4015,113,29569,382.2
"Navajo County, AZ",4017,48,11571,414.8
"Pima County, AZ",4019,1312,338802,387.2
"Pinal County, AZ",4021,294,106977,274.8
"Santa Cruz County, AZ",4023,162,39273,412.5
"Yavapai County, AZ",4025,99,28728,344.6
"Yuma County, AZ",4027,366,116912,313.1
"Benton County, AR",5007,35,34283,102.1
"Pulaski County, AR",5119,28,22168,126.3
"Sebastian County, AR",5131,24,15445,155.4
"Washington County, AR",5143,22,31458,69.9
"Alameda County, CA",6001,882,339889,259.5
"Amador County, CA",6005,18,4756,378.5
"Butte County, CA",6007,84,31116,270
"Calaveras County, CA",6009,19,4703,404
"Colusa County, CA",6011,28,11804,237.2
"Contra Costa County, CA",6013,633,255560,247.7
"Del Norte County, CA",6015,14,5093,274.9
"El Dorado County, CA",6017,42,21875,192
"Fresno County, CA",6019,1496,468070,319.6
"Glenn County, CA",6021,17,10539,161.3
"Humboldt County, CA",6023,27,13211,204.4
"Imperial County, CA",6025,569,140271,405.6
"Kern County, CA",6029,1048,413033,253.7
"Kings County, CA",6031,221,77866,283.8
"Lake County, CA",6033,35,11088,315.7
"Los Angeles County, CA",6037,13787,4687889,294.1
"Madera County, CA",6039,231,80992,285.2
"Marin County, CA",6041,57,39069,145.9
"Mendocino County, CA",6045,34,19505,174.3
"Merced County, CA",6047,334,140485,237.7
"Monterey County, CA",6053,522,230003,227
"Napa County, CA",6055,108,44010,245.4
"Nevada County, CA",6057,19,8439,225.1
"Orange County, CA",6059,2234,1012973,220.5
"Placer County, CA",6061,137,44710,306.4
"Riverside County, CA",6065,2529,995257,254.1
"Sacramento County, CA",6067,830,306196,271.1
"San Benito County, CA",6069,94,31186,301.4
"San Bernardino County, CA",6071,2786,1001145,278.3
"San Diego County, CA",6073,2664,991348,268.7
"San Francisco County, CA",6075,488,121774,400.7
"San Joaquin County, CA",6077,763,266341,286.5
"San Luis Obispo County, CA",6079,147,55973,262.6
"San Mateo County, CA",6081,464,182502,254.2
"Santa Barbara County, CA",6083,488,181687,268.6
"Santa Clara County, CA",6085,1291,479210,269.4
"Santa Cruz County, CA",6087,211,84092,250.9
"Shasta County, CA",6089,58,14878,389.8
"Siskiyou County, CA",6093,16,4615,346.7
"Solano County, CA",6095,230,99356,231.5
"Sonoma County, CA",6097,207,120430,171.9
"Stanislaus County, CA",6099,563,215658,261.1
"Sutter County, CA",6101,71,27251,260.5
"Tehama County, CA",6103,30,13906,215.7
"Tulare County, CA",6107,809,268065,301.8
"Tuolumne County, CA",6109,28,5918,473.1
"Ventura County, CA",6111,834,331567,251.5
"Yolo County, CA",6113,168,60953,275.6
"Yuba County, CA",6115,54,18051,299.2
"Adams County, CO",8001,369,167878,219.8
"Alamosa County, CO",8003,52,7110,731.4
"Arapahoe County, CO",8005,208,105522,197.1
"Archuleta County, CO",8007,10,2148,465.5
"Bent County, CO",8011,19,1985,957.2
"Boulder County, CO",8013,73,39276,185.9
"Broomfield County, CO",8014,14,6216,225.2
"Conejos County, CO",8021,57,4620,1233.8
"Costilla County, CO",8023,18,2327,773.5
