county_name,fips,nh_black_deaths,nh_black_population,nh_black_crude_death_rate
"Autauga County, AL",1001,69,9794,704.5
"Baldwin County, AL",1003,132,17451,756.4
"Barbour County, AL",1005,117,12957,903
"Bibb County, AL",1007,33,5092,648.1
"Bullock County, AL",1011,93,7666,1213.1
"Butler County, AL",1013,98,9118,1074.8
"Calhoun County, AL",1015,242,24726,978.7
"Chambers County, AL",1017,148,13376,1106.5
"Cherokee County, AL",1019,18,1278,1408.5
"Chilton County, AL",1021,35,4276,818.5
"Choctaw County, AL",1023,65,6029,1078.1
"Clarke County, AL",1025,145,11370,1275.3
"Clay County, AL",1027,30,2120,1415.1
"Coffee County, AL",1031,94,8522,1103
"Colbert County, AL",1033,103,8929,1153.5
"Conecuh County, AL",1035,64,6176,1036.3
"Coosa County, AL",1037,41,3596,1140.2
"Covington County, AL",1039,60,4832,1241.7
"Crenshaw County, AL",1041,37,3310,1117.8
"Dale County, AL",1045,85,9967,852.8
"Dallas County, AL",1047,294,30533,962.9
"Elmore County, AL",1051,109,16104,676.9
"Escambia County, AL",1053,95,12339,769.9
"Etowah County, AL",1055,162,16089,1006.9
"Fayette County, AL",1057,18,2015,893.3
"Franklin County, AL",1059,17,1301,1306.7
"Geneva County, AL",1061,24,2636,910.5
"Greene County, AL",1063,67,7380,907.9
"Hale County, AL",1065,94,9296,1011.2
"Henry County, AL",1067,53,4985,1063.2
"Houston County, AL",1069,209,26587,786.1
"Jackson County, AL",1071,29,1950,1487.2
"Jefferson County, AL",1073,2516,278243,904.2
"Lamar County, AL",1075,16,1697,942.8
"Lauderdale County, AL",1077,78,9512,820
"Lawrence County, AL",1079,49,4054,1208.7
"Lee County, AL",1081,232,32286,718.6
"Limestone County, AL",1083,67,10688,626.9
"Lowndes County, AL",1085,109,8312,1311.4
"Macon County, AL",1087,197,17775,1108.3
"Madison County, AL",1089,514,81809,628.3
"Marengo County, AL",1091,119,10922,1089.5
"Marion County, AL",1093,11,1246,882.8
"Marshall County, AL",1095,14,1619,864.7
"Mobile County, AL",1097,1273,144364,881.8
"Monroe County, AL",1099,106,9709,1091.8
"Montgomery County, AL",1101,898,126316,710.9
"Morgan County, AL",1103,121,14513,833.7
"Perry County, AL",1105,94,7276,1291.9
"Pickens County, AL",1107,106,8272,1281.4
"Pike County, AL",1109,116,12177,952.6
"Randolph County, AL",1111,50,4691,1065.9
"Russell County, AL",1113,195,22329,873.3
"St. Clair County, AL",1115,43,7310,588.2
"Shelby County, AL",1117,88,21137,416.3
"Sumter County, AL",1119,106,10317,1027.4
"Talladega County, AL",1121,208,26373,788.7
"Tallapoosa County, AL",1123,101,11194,902.3
"Tuscaloosa County, AL",1125,443,58061,763
"Walker County, AL",1127,38,4083,930.7
"Washington County, AL",1129,49,4406,1112.1
"Wilcox County, AL",1131,101,8443,1196.3
"Anchorage Borough, AK",2020,75,19515,384.3
"Fairbanks North Star Borough, AK",2090,14,5091,275
"Cochise County, AZ",4003,27,5734,470.9
"Maricopa County, AZ",4013,978,197208,495.9
"Mohave County, AZ",4015,14,2234,626.7
"Navajo County, AZ",4017,13,1093,1189.4
"Pima County, AZ",4019,215,35855,599.6
"Pinal County, AZ",4021,66,17869,369.4
"Yuma County, AZ",4027,11,3667,300
"Arkansas County, AR",5001,43,4733,908.5
"Ashley County, AR",5003,71,5686,1248.7
"Bradley County, AR",5011,40,3215,1244.2
"Calhoun County, AR",5013,16,1217,1314.7
"Chicot County, AR",5017,69,6390,1079.8
"Clark County, AR",5019,49,5488,892.9
"Cleveland County, AR",5025,11,1076,1022.3
"Columbia County, AR",5027,92,9118,1009
"Conway County, AR",5029,32,2495,1282.6
"Craighead County, AR",5031,53,13025,406.9
"Crittenden County, AR",5035,218,26206,831.9
"Cross County, AR",5037,48,4033,1190.2
"Dallas County, AR",5039,36,3455,1042
"Desha County, AR",5041,64,6227,1027.8
"Drew County, AR",5043,35,5233,668.8
"Faulkner County, AR",5045,57,11970,476.2
"Garland County, AR",5051,65,8085,804
"Hempstead County, AR",5057,73,6766,1078.9
"Hot Spring County, AR",5059,26,3696,703.5
"Howard County, AR",5061,36,2869,1254.8
"Independence County, AR",5063,10,817,1224
"Jackson County, AR",5067,27,3071,879.2
"Jefferson County, AR",5069,327,42987,760.7
"Lafayette County, AR",5073,44,2869,1533.6
"Lee County, AR",5077,61,5808,1050.3
"Lincoln County, AR",5079,31,4254,728.7
"Little River County, AR",5081,22,2582,852.1
"Lonoke County, AR",5085,45,4251,1058.6
"Miller County, AR",5091,82,10810,758.6
"Mississippi County, AR",5093,150,16034,935.5
"Monroe County, AR",5095,44,3366,1307.2
"Nevada County, AR",5099,31,2800,1107.1
"Ouachita County, AR",5103,119,10663,1116
"Phillips County, AR",5107,151,13769,1096.7
"Poinsett County, AR",5111,22,1857,1184.7
"Pope County, AR",5115,12,1931,621.4
"Prairie County, AR",5117,14,1083,1292.7
"Pulaski County, AR",5119,923,136070,678.3
"St. Francis County, AR",5123,115,14745,779.9
"Saline County, AR",5125,25,5191,481.6
"Sebastian County, AR",5131,60,8632,695.1
"Union County, AR",5139,171,13868,1233.1
"Washington County, AR",5143,20,6530,306.3
"White County, AR",5145,20,3354,596.3
"Woodruff County, AR",5147,30,2049,1464.1
