county_name,fips,nhwhite_deaths,nhwhite_population,nh_w_crude_rate
"Autauga County, AL",1001,359,42673,841.3
"Baldwin County, AL",1003,1652,153983,1072.8
"Barbour County, AL",1005,163,12909,1262.7
"Bibb County, AL",1007,190,17315,1097.3
"Blount County, AL",1009,528,51424,1026.8
"Bullock County, AL",1011,37,2424,1526.4
"Butler County, AL",1013,174,11393,1527.3
"Calhoun County, AL",1015,1125,88366,1273.1
"Chambers County, AL",1017,296,20067,1475.1
"Cherokee County, AL",1019,289,24214,1193.5
"Chilton County, AL",1021,419,35657,1175.1
"Choctaw County, AL",1023,91,7726,1177.8
"Clarke County, AL",1025,168,14009,1199.2
"Clay County, AL",1027,146,11332,1288.4
"Cleburne County, AL",1029,177,14055,1259.3
"Coffee County, AL",1031,409,36797,1111.5
"Colbert County, AL",1033,589,43878,1342.4
"Conecuh County, AL",1035,103,6826,1508.9
"Coosa County, AL",1037,107,7658,1397.2
"Covington County, AL",1039,415,32086,1293.4
"Crenshaw County, AL",1041,130,10138,1282.3
"Cullman County, AL",1043,896,75206,1191.4
"Dale County, AL",1045,352,36419,966.5
"Dallas County, AL",1047,221,12730,1736.1
"DeKalb County, AL",1049,733,59013,1242.1
"Elmore County, AL",1051,608,60141,1011
"Escambia County, AL",1053,317,23794,1332.3
"Etowah County, AL",1055,1205,83741,1439
"Fayette County, AL",1057,233,14938,1559.8
"Franklin County, AL",1059,378,25507,1481.9
"Geneva County, AL",1061,307,22944,1338
"Greene County, AL",1063,21,1570,1337.6
"Hale County, AL",1065,101,6261,1613.2
"Henry County, AL",1067,152,11825,1285.4
"Houston County, AL",1069,770,70596,1090.7
"Jackson County, AL",1071,598,48844,1224.3
"Jefferson County, AL",1073,4250,343260,1238.1
"Lamar County, AL",1075,185,12652,1462.2
"Lauderdale County, AL",1077,997,80023,1245.9
"Lawrence County, AL",1079,330,27412,1203.9
"Lee County, AL",1081,570,99044,575.5
"Limestone County, AL",1083,579,65952,877.9
"Lowndes County, AL",1085,36,2858,1259.6
"Macon County, AL",1087,40,3309,1208.8
"Madison County, AL",1089,2066,225592,915.8
"Marengo County, AL",1091,128,9657,1325.5
"Marion County, AL",1093,418,28737,1454.6
"Marshall County, AL",1095,999,78941,1265.5
"Mobile County, AL",1097,2741,246727,1110.9
"Monroe County, AL",1099,178,12794,1391.3
"Montgomery County, AL",1101,1071,89028,1203
"Morgan County, AL",1103,1124,93957,1196.3
"Perry County, AL",1105,53,3148,1683.6
"Pickens County, AL",1107,149,11095,1342.9
"Pike County, AL",1109,202,19116,1056.7
"Randolph County, AL",1111,247,17429,1417.2
"Russell County, AL",1113,360,28055,1283.2
"St. Clair County, AL",1115,719,73683,975.8
"Shelby County, AL",1117,1057,157843,669.7
"Sumter County, AL",1119,43,3313,1297.9
"Talladega County, AL",1121,667,53631,1243.7
"Tallapoosa County, AL",1123,406,29048,1397.7
"Tuscaloosa County, AL",1125,1129,127619,884.7
"Walker County, AL",1127,872,61139,1426.3
"Washington County, AL",1129,153,11548,1324.9
"Wilcox County, AL",1131,42,3129,1342.3
"Winston County, AL",1133,337,23483,1435.1
"Anchorage Borough, AK",2020,1004,192710,521
"Fairbanks North Star Borough, AK",2090,327,75432,433.5
"Haines Borough, AK",2100,13,2167,599.9
"Juneau Borough, AK",2110,112,22504,497.7
"Kenai Peninsula Borough, AK",2122,339,47556,712.8
"Ketchikan Gateway Borough, AK",2130,81,9517,851.1
"Kodiak Island Borough, AK",2150,27,7599,355.3
